"attempt","dimension","replication","iteration","particles","next_particles","window_cv","stop_eligible","last_five_cv_explanatory_only","stop_condition","monotone","same_n_window","doubled"
"attempt07-validation-delayed-d10",10,1323,5,1000,1000,0.503146996180729,FALSE,0.107614715545005,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1323,6,1000,NA,0.098877583685449,TRUE,0.101078747970982,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1324,5,1000,1000,0.499271298156976,FALSE,0.0897132257622034,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1324,6,1000,NA,0.0882312775238574,TRUE,0.0829595914849095,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1325,5,1000,1000,0.493416717299849,FALSE,0.0548059218118869,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1325,6,1000,NA,0.049131652054807,TRUE,0.0518896811511115,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1326,5,1000,1000,0.508410293224276,FALSE,0.126659220473873,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1326,6,1000,NA,0.120160843367732,TRUE,0.0944945105766697,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1327,5,1000,1000,0.512558720782981,FALSE,0.14042483363057,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1327,6,1000,NA,0.159449503432707,TRUE,0.0928018174188441,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1328,5,1000,1000,0.497109629855132,FALSE,0.0786295566285082,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1328,6,1000,NA,0.0731787655530026,TRUE,0.0475543754261548,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1329,5,1000,1000,0.493268086780363,FALSE,0.0536367752757502,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1329,6,1000,NA,0.0509892885611056,TRUE,0.0555221182879092,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1330,5,1000,1000,0.496832469147697,FALSE,0.0770694418830456,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1330,6,1000,NA,0.0709525951375071,TRUE,0.0722453101725996,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1331,5,1000,1000,0.492779481107475,FALSE,0.0495783566775121,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1331,6,1000,NA,0.0443677382230485,TRUE,0.0482169894312955,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1332,5,1000,1000,0.515165430464709,FALSE,0.148474361972925,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1332,6,1000,NA,0.133149941038691,TRUE,0.110037320911775,TRUE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1401,5,1000,1000,0.786556656651437,FALSE,0.573330437040503,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1401,6,1000,2000,0.687149483324413,TRUE,0.450353598566945,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1401,7,2000,NA,0.4043948886127,TRUE,0.438328254299446,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1402,5,1000,1000,0.799469662889056,FALSE,0.588630518278282,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1402,6,1000,2000,0.517179324330801,TRUE,0.155446887492747,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1402,7,2000,NA,0.144447320636415,TRUE,0.105742514024533,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1403,5,1000,1000,0.839671960497433,FALSE,0.63536475282849,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1403,6,1000,2000,0.55582780349357,TRUE,0.244642144712635,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1403,7,2000,NA,0.223591594760994,TRUE,0.183229526632022,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1404,5,1000,1000,0.947080565810987,FALSE,0.755168302465985,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1404,6,1000,2000,0.656153467084557,TRUE,0.406690330763081,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1404,7,2000,NA,0.377530782912204,TRUE,0.306271799536002,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1405,5,1000,1000,0.790297975219562,FALSE,0.577779280741005,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1405,6,1000,2000,0.556364576617444,TRUE,0.245694786854842,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1405,7,2000,NA,0.255677986372847,TRUE,0.285784464571736,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1406,5,1000,1000,0.86528654538963,FALSE,0.664528345186142,FALSE,TRUE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1406,6,1000,1000,0.743884158911356,TRUE,0.521552538545687,FALSE,TRUE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1406,7,1000,NA,0.488771223730923,TRUE,0.422175461140851,TRUE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1407,5,1000,1000,0.818768636673866,FALSE,0.611224636204608,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1407,6,1000,2000,0.535803109462823,TRUE,0.202169172135804,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1407,7,2000,NA,0.201560248982358,TRUE,0.204803787248317,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1408,5,1000,1000,0.860054287173073,FALSE,0.658605809175072,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1408,6,1000,2000,0.573049741548993,TRUE,0.276990909228575,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1408,7,2000,NA,0.280264428673645,TRUE,0.266517638000159,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1409,5,1000,1000,0.824766728832299,FALSE,0.61818517780089,FALSE,FALSE,TRUE,FALSE
