"attempt","dimension","replication","iteration","particles","next_particles","window_cv","stop_eligible","stop_condition","monotone","same_n_window","doubled"
"attempt07-validation-delayed-d10",10,1326,5,1000,1000,0.508410293224276,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1326,6,1000,NA,0.120160843367732,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1327,5,1000,1000,0.512558720782981,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1327,6,1000,NA,0.159449503432707,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1328,5,1000,1000,0.497109629855132,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1328,6,1000,NA,0.0731787655530026,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1329,5,1000,1000,0.493268086780363,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1329,6,1000,NA,0.0509892885611056,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1330,5,1000,1000,0.496832469147697,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1330,6,1000,NA,0.0709525951375071,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1331,5,1000,1000,0.492779481107475,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1331,6,1000,NA,0.0443677382230485,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1332,5,1000,1000,0.515165430464709,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt07-validation-delayed-d10",10,1332,6,1000,NA,0.133149941038691,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1401,5,1000,1000,0.786556656651437,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1401,6,1000,2000,0.687149483324413,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1401,7,2000,NA,0.4043948886127,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1402,5,1000,1000,0.799469662889056,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1402,6,1000,2000,0.517179324330801,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1402,7,2000,NA,0.144447320636415,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1403,5,1000,1000,0.839671960497433,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1403,6,1000,2000,0.55582780349357,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1403,7,2000,NA,0.223591594760994,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1404,5,1000,1000,0.947080565810987,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1404,6,1000,2000,0.656153467084557,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1404,7,2000,NA,0.377530782912204,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1405,5,1000,1000,0.790297975219562,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1405,6,1000,2000,0.556364576617444,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1405,7,2000,NA,0.255677986372847,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1406,5,1000,1000,0.86528654538963,FALSE,FALSE,TRUE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1406,6,1000,1000,0.743884158911356,TRUE,FALSE,TRUE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1406,7,1000,NA,0.488771223730923,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1407,5,1000,1000,0.818768636673866,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1407,6,1000,2000,0.535803109462823,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1407,7,2000,NA,0.201560248982358,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1408,5,1000,1000,0.860054287173073,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1408,6,1000,2000,0.573049741548993,TRUE,FALSE,FALSE,TRUE,TRUE
