0, NVIDIA GeForce RTX 4080 SUPER, 32760 MiB, 337 MiB, 1 %
1, NVIDIA GeForce RTX 4080 SUPER, 32760 MiB, 18 MiB, 0 %
2, NVIDIA GeForce RTX 4080 SUPER, 32760 MiB, 780 MiB, 39 %
