dataset,regime,method,score_mse,log_likelihood_mse,max_absolute_mean_score_error_over_mcse
1300,weak,bootstrap,0.10373107466613063,0.00036472475609582915,91.11863351288662
1300,weak,density_2000,0.001762485323113454,2.910012523463909e-05,7.102710356900614
1300,weak,floor_001,0.001561436203452454,2.5691588747753883e-05,6.2837249480859665
1300,weak,local_linear,0.012973382765022724,0.0001389475194619389,77.34680841408165
1300,weak,no_resampling,0.002547744087417985,0.0003202346012921686,2.4904204424934937
1300,weak,shape_10000,0.001963065097468074,3.0404148882570605e-05,7.591525995428143
1300,weak,ekf,0.0027414346688174355,0.0007334587412721759,N/A
1300,weak,ukf,0.0012588773144076688,0.00046235729073910417,N/A
1301,curved,bootstrap,0.10896667417849205,0.0004482199010426042,54.578770436428414
1301,curved,density_2000,0.011606483843746445,0.000664457297420123,8.861720329127408
1301,curved,floor_001,0.009514412975813881,0.00023897738917282577,21.05034898133348
1301,curved,local_linear,0.023063263184169354,0.00021270516928581726,40.33190842410155
1301,curved,no_resampling,0.005105911992763994,0.0004805136725108274,2.230029152014815
1301,curved,shape_10000,0.009975447020868522,0.00020601274789901867,23.943777513953446
1301,curved,ekf,0.24652303551158716,1.8089231315085432e-05,N/A
1301,curved,ukf,0.1318316455151621,0.010442603716193061,N/A
1310,weak,bootstrap,1.0397994146318577,0.001189654476643499,89.07082361002614
1310,weak,density_2000,0.06815124276474016,0.0008363495315860185,20.594103668702232
1310,weak,floor_001,0.00358029020490479,0.0003370044289387651,1.8780849654052076
1310,weak,local_linear,0.1203053735836092,0.0004279923036935987,101.13847889085552
1310,weak,no_resampling,0.0393653165893341,0.0019541631336665293,1.2212473649670474
1310,weak,shape_10000,0.010926844552498597,0.0003467249856815164,24.83291143537184
1310,weak,ekf,0.01047276363661378,0.0021072887513171896,N/A
1310,weak,ukf,0.004928597011466821,0.001470226385263922,N/A
1311,curved,bootstrap,0.17058828867367615,0.00026682091759115017,74.77243794550675
1311,curved,density_2000,0.006323165837975223,7.6127708927696e-05,20.567933310083433
1311,curved,floor_001,0.0036000116873684835,6.478637867860811e-05,19.76021708881333
1311,curved,local_linear,0.027677276813798387,0.00013997390116095383,70.39984617822286
1311,curved,no_resampling,0.0030456353129725807,0.0002753835400391743,1.3882101635853403
1311,curved,shape_10000,0.003979124480734333,7.326024176974677e-05,19.608080909243316
1311,curved,ekf,0.03519140875696682,0.012316265734404475,N/A
1311,curved,ukf,0.040743134953540566,0.012098235035330205,N/A
1320,weak,bootstrap,2.855197984228864,0.002354642317046687,131.5639718936651
1320,weak,density_2000,0.11357715097601437,0.0003061615754020296,105.62601106532723
1320,weak,floor_001,0.009356099673401157,0.00029398190731951077,14.656011565528168
1320,weak,local_linear,0.2406256769929969,0.0005709630087192846,114.44738648528467
1320,weak,no_resampling,0.08969746991809745,0.0029800313024556987,2.2340907375147414
1320,weak,shape_10000,0.10803532765596545,0.0002912799279163982,112.71364424190917
1320,weak,ekf,0.04406921146130224,0.003493238859451341,N/A
1320,weak,ukf,0.01750056430650868,0.0013746751911492881,N/A
1321,curved,bootstrap,1.5407266695882733,0.0012021858329583808,90.50524644570481
1321,curved,density_2000,1.3042303581159853,0.000959486007570474,124.6005008662281
1321,curved,floor_001,0.022008184951393436,0.0005281026293375326,30.41952127998481
1321,curved,local_linear,0.33287741070668525,0.001044036443407727,82.17457643354263
1321,curved,no_resampling,0.06447761260699991,0.0030198138148032935,3.0246482333364297
1321,curved,shape_10000,0.1152133486665479,0.0005441738686959532,82.07351626437753
1321,curved,ekf,4.578762504030731,0.04393865386028197,N/A
1321,curved,ukf,2.753597068589608,0.00023660816963941243,N/A
